Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2s2""","=""1S""","=""0""","="" 0.00000000""","=""0.00000012""","=""L9172"""
"=""1s2.2s.2p""","=""3P*""","=""0""","="" 2.724963""","=""0.000010""","=""L9172"""
"=""1s2.2s.2p""","=""3P*""","=""1""","="" 2.7250394""","=""0.0000012""","=""L9172"""
"=""1s2.2s.2p""","=""3P*""","=""2""","="" 2.725329""","=""0.000009""","=""L9172"""
"=""1s2.2s.2p""","=""1P*""","=""1""","="" 5.27744322""","=""0.00000012""","=""L20591"""
"=""1s2.2s.3s""","=""3S""","=""1""","="" 6.457214""","=""0.000007""","=""L9172"""
"=""1s2.2s.3s""","=""1S""","=""0""","="" 6.779127""","=""0.000003""","=""L9172"""
"=""1s2.2p2""","=""1D""","=""2""","="" 7.0525370""","=""0.000003""","=""L9172"""
"=""1s2.2s.3p""","=""3P*""","=""1""","="" 7.303596""","=""0.000007""","=""L9172"""
"=""1s2.2s.3p""","=""3P*""","=""0""","="" 7.303596""","=""0.000007""","=""L9172"""
"=""1s2.2s.3p""","=""3P*""","=""2""","="" 7.303641""","=""0.000007""","=""L9172"""
"=""1s2.2p2""","=""3P""","=""0""","="" 7.401063""","=""0.000010""","=""L9172"""
"=""1s2.2p2""","=""3P""","=""1""","="" 7.401235""","=""0.000007""","=""L9172"""
"=""1s2.2p2""","=""3P""","=""2""","="" 7.401482""","=""0.000009""","=""L9172"""
"=""1s2.2s.3p""","=""1P*""","=""1""","="" 7.4622919""","=""0.000003""","=""L9172"""
"=""1s2.2s.3d""","=""3D""","=""1""","="" 7.6936830""","=""0.000007""","=""L9172"""
"=""1s2.2s.3d""","=""3D""","=""3""","="" 7.693683""","=""0.000007""","=""L9172"""
"=""1s2.2s.3d""","=""3D""","=""2""","="" 7.693683""","=""0.000007""","=""L9172"""
"=""1s2.2s.3d""","=""1D""","=""2""","="" 7.98810393""","=""0.00000006""","=""L21345"""
"=""1s2.2s.4s""","=""3S""","=""1""","="" 7.997785""","=""0.000007""","=""L9172"""
"=""1s2.2s.4s""","=""1S""","=""0""","="" 8.089403""","=""0.000003""","=""L9172"""
"=""1s2.2s.4p""","=""3P*""","=""0""","="" 8.283619""","=""0.000017""","=""L9172"""
"=""1s2.2s.4p""","=""3P*""","=""2""","="" 8.283619""","=""0.000010""","=""L9172"""
"=""1s2.2s.4p""","=""3P*""","=""1""","="" 8.283619""","=""0.000011""","=""L9172"""
"=""1s2.2s.4p""","=""1P*""","=""1""","="" 8.311256""","=""0.000004""","=""L9172"""
"=""1s2.2s.4d""","=""3D""","=""1""","="" 8.423689""","=""0.000010""","=""L9172"""
"=""1s2.2s.4d""","=""3D""","=""2""","="" 8.423691""","=""0.000009""","=""L9172"""
"=""1s2.2s.4d""","=""3D""","=""3""","="" 8.423695""","=""0.000009""","=""L9172"""
"=""1s2.2s.4f""","=""3F*""","=""4""","="" 8.46081""","=""0.00004""","=""L9172"""
"=""1s2.2s.4f""","=""3F*""","=""2""","="" 8.460811""","=""0.000007""","=""L9172"""
"=""1s2.2s.4f""","=""3F*""","=""3""","="" 8.460811""","=""0.000007""","=""L9172"""
"=""1s2.2s.4f""","=""1F*""","=""3""","="" 8.460843""","=""0.000004""","=""L9172"""
"=""1s2.2s.4d""","=""1D""","=""2""","="" 8.527752""","=""0.000009""","=""L9172"""
"=""1s2.2s.5s""","=""3S""","=""1""","="" 8.556172""","=""0.000007""","=""L9172"""
"=""1s2.2s.5s""","=""1S""","=""0""","="" 8.594870""","=""0.000009""","=""L9172"""
"=""1s2.2s.5p""","=""3P*""","=""0""","=""[8.687002]""","=""0.000012""","=""L9172"""
"=""1s2.2s.5p""","=""3P*""","=""2""","=""[8.687002]""","=""0.000017""","=""L9172"""
"=""1s2.2s.5p""","=""3P*""","=""1""","=""[8.687002]""","=""0.000017""","=""L9172"""
"=""1s2.2s.5p""","=""1P*""","=""1""","="" 8.693845""","=""0.000004""","=""L9172"""
"=""1s2.2s.5d""","=""3D""","=""3""","="" 8.753747""","=""0.000007""","=""L9172"""
"=""1s2.2s.5d""","=""3D""","=""1""","="" 8.753751""","=""0.000009""","=""L9172"""
"=""1s2.2s.5d""","=""3D""","=""2""","="" 8.753751""","=""0.000007""","=""L9172"""
"=""1s2.2s.5f""","=""3F*""","=""4""","="" 8.77184""","=""0.00014""","=""L9172"""
"=""1s2.2s.5f""","=""3F*""","=""2""","="" 8.771850""","=""0.000007""","=""L9172"""
"=""1s2.2s.5f""","=""3F*""","=""3""","="" 8.771850""","=""0.000007""","=""L9172"""
"=""1s2.2s.5f""","=""1F*""","=""3""","="" 8.771885""","=""0.000005""","=""L9172"""
"=""1s2.2s.5d""","=""1D""","=""2""","="" 8.803176""","=""0.000004""","=""L9172"""
"=""1s2.2s.6s""","=""3S""","=""1""","="" 8.822779""","=""0.000007""","=""L9172"""
"=""1s2.2s.6s""","=""1S""","=""0""","="" 8.842708""","=""0.000010""","=""L9172"""
"=""1s2.2s.6p""","=""3P*""","=""0""","="" 8.893466""","=""0.000010""","=""L9172"""
"=""1s2.2s.6p""","=""3P*""","=""2""","="" 8.893468""","=""0.000007""","=""L9172"""
"=""1s2.2s.6p""","=""3P*""","=""1""","="" 8.893468""","=""0.000007""","=""L9172"""
"=""1s2.2s.6p""","=""1P*""","=""1""","="" 8.895391""","=""0.000007""","=""L9172"""
