Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""1s2.2s""","=""2S""","=""1/2""","="" 0.000000""","=""0.00004""","="" 100                                           ""","=""L12158"""
"=""1s2.2p""","=""2P*""","=""1/2""","="" 3.958660""","=""0.00004""","="" 100                                           ""","=""L12158"""
"=""1s2.2p""","=""2P*""","=""3/2""","="" 3.959475""","=""0.00004""","="" 100                                           ""","=""L12158"""
"=""1s2.3s""","=""2S""","=""1/2""","="" 10.9393633""","=""-""","="" 100                                           ""","=""L12158"""
"=""1s2.3p""","=""2P*""","=""1/2""","="" 11.9638999""","=""0.0000017""","="" 100                                           ""","=""L12158"""
"=""1s2.3p""","=""2P*""","=""3/2""","="" 11.9641389""","=""0.0000017""","="" 100                                           ""","=""L12158"""
"=""1s2.3d""","=""2D""","=""3/2""","="" 12.157217""","=""0.000012""","="" 100                                           ""","=""L12158"""
"=""1s2.3d""","=""2D""","=""5/2""","="" 12.157283""","=""0.000012""","="" 100                                           ""","=""L12158"""
"=""1s2.4s""","=""2S""","=""1/2""","="" 14.315766""","=""0.000009""","="" 100                                           ""","=""L12158"""
"=""1s2.4p""","=""2P*""","=""1/2""","="" 14.724427""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.4p""","=""2P*""","=""3/2""","="" 14.724527""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.4d""","=""2D""","=""3/2""","="" 14.806342""","=""0.000007""","="" 100                                           ""","=""L12158"""
"=""1s2.4d""","=""2D""","=""5/2""","="" 14.806372""","=""0.000007""","="" 100                                           ""","=""L12158"""
"=""1s2.4f""","=""2F*""","=""5/2""","="" 14.809490""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.4f""","=""2F*""","=""7/2""","="" 14.809506""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.5s""","=""2S""","=""1/2""","="" 15.787543""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.5p""","=""2P*""","=""1/2""","="" 15.990443""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.5p""","=""2P*""","=""3/2""","="" 15.990496""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.5d""","=""2D""","=""3/2""","="" 16.032413""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.5d""","=""2D""","=""5/2""","="" 16.032428""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.5f""","=""2F*""","=""5/2""","="" 16.034114""","=""0.000007""","="" 100                                           ""","=""L12158"""
"=""1s2.5f""","=""2F*""","=""7/2""","="" 16.034123""","=""0.000007""","="" 100                                           ""","=""L12158"""
"=""1s2.5g""","=""2G""","=""7/2""","="" 16.034313""","=""0.000017""","="" 100                                           ""","=""L12158"""
"=""1s2.5g""","=""2G""","=""9/2""","="" 16.034313""","=""0.000017""","="" 100                                           ""","=""L12158"""
"=""1s2.6s""","=""2S""","=""1/2""","="" 16.558888""","=""0.000012""","="" 100                                           ""","=""L12158"""
"=""1s2.6p""","=""2P*""","=""1/2""","="" 16.674061""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.6p""","=""2P*""","=""3/2""","="" 16.674091""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.6d""","=""2D""","=""3/2""","="" 16.698334""","=""0.000012""","="" 100                                           ""","=""L12158"""
"=""1s2.6d""","=""2D""","=""5/2""","="" 16.698334""","=""0.000012""","="" 100                                           ""","=""L12158"""
"=""1s2.6f""","=""2F*""","=""5/2""","="" 16.699332""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.6f""","=""2F*""","=""7/2""","="" 16.699336""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.6g""","=""2G""","=""9/2""","="" 16.699452""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.6g""","=""2G""","=""7/2""","="" 16.699452""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.6h""","=""2H*""","=""9/2""","=""[16.699487]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.6h""","=""2H*""","=""11/2""","=""[16.699487]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.7s""","=""2S""","=""1/2""","=""[17.012960]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.7p""","=""2P*""","=""1/2""","=""[17.084523]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.7p""","=""2P*""","=""3/2""","=""[17.084541]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.7d""","=""2D""","=""3/2""","="" 17.099798""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.7d""","=""2D""","=""5/2""","="" 17.099798""","=""0.000011""","="" 100                                           ""","=""L12158"""
"=""1s2.7f""","=""2F*""","=""5/2""","="" 17.100435""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.7f""","=""2F*""","=""7/2""","="" 17.100435""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.7g""","=""2G""","=""9/2""","="" 17.100534""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.7g""","=""2G""","=""7/2""","="" 17.100534""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.7h""","=""2H*""","=""9/2""","="" 17.100537""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.7h""","=""2H*""","=""11/2""","="" 17.100537""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.8s""","=""2S""","=""1/2""","=""[17.302635]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.8p""","=""2P*""","=""1/2""","=""[17.350111]""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.8p""","=""2P*""","=""3/2""","=""[17.350123]""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.8d""","=""2D""","=""3/2""","=""[17.360339]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.8d""","=""2D""","=""5/2""","=""[17.360339]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.8f""","=""2F*""","=""5/2""","=""[17.360778]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.8f""","=""2F*""","=""7/2""","=""[17.360778]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.8g""","=""2G""","=""9/2""","="" 17.36084""","=""0.00004""","="" 100                                           ""","=""L12158"""
"=""1s2.8g""","=""2G""","=""7/2""","="" 17.36084""","=""0.00004""","="" 100                                           ""","=""L12158"""
"=""1s2.8h""","=""2H*""","=""11/2""","="" 17.360850""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.8h""","=""2H*""","=""9/2""","="" 17.360850""","=""0.000025""","="" 100                                           ""","=""L12158"""
"=""1s2.9s""","=""2S""","=""1/2""","=""[17.498671]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.9p""","=""2P*""","=""1/2""","=""[17.531767]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.9p""","=""2P*""","=""3/2""","=""[17.531776]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.9d""","=""2D""","=""3/2""","=""[17.538947]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.9d""","=""2D""","=""5/2""","=""[17.538947]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.9f""","=""2F*""","=""5/2""","=""[17.539257]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.9f""","=""2F*""","=""7/2""","=""[17.539257]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.9g""","=""2G""","=""7/2""","=""[17.539294]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.9g""","=""2G""","=""9/2""","=""[17.539294]""","=""0.000010""","="" 100                                           ""","=""L12158"""
"=""1s2.9h""","=""2H*""","=""11/2""","=""[17.539303]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.9h""","=""2H*""","=""9/2""","=""[17.539303]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10s""","=""2S""","=""1/2""","=""[17.637476]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10p""","=""2P*""","=""1/2""","=""[17.661462]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10p""","=""2P*""","=""3/2""","=""[17.661468]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10f""","=""2F*""","=""5/2""","=""[17.666921]""","=""0.000007""","="" 100                                           ""","=""L12158"""
"=""1s2.10f""","=""2F*""","=""7/2""","=""[17.666921]""","=""0.000007""","="" 100                                           ""","=""L12158"""
"=""1s2.10g""","=""2G""","=""9/2""","=""[17.666949]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10g""","=""2G""","=""7/2""","=""[17.666949]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10h""","=""2H*""","=""9/2""","=""[17.666955]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""1s2.10h""","=""2H*""","=""11/2""","=""[17.666955]""","=""0.000015""","="" 100                                           ""","=""L12158"""
"=""Be III (1s2 1S<0>)""","=""Limit""","=""---""","="" 18.21115""","=""0.00004""","=""                                               ""","=""L12158"""
"=""1s.2s2""","=""2S""","=""1/2""","="" 114.31a""","=""0.10""","=""  88         :    12  1s.2p2              2S   ""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""1/2""","="" 115.8748+x""","=""0.004""","="" 100                                           ""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""3/2""","="" 115.8748+x""","=""0.004""","="" 100                                           ""","=""L12158"""
"=""1s.2s.2p""","=""4P*""","=""5/2""","="" 115.8748+x""","=""0.004""","="" 100                                           ""","=""L12158"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""","="" 118.748a""","=""0.012""","=""  95         :     5  1s.(2S).2s.2p.(1P*) 2P*  ""","=""L12158"""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""","="" 118.748a""","=""0.012""","=""  95         :     5  1s.(2S).2s.2p.(1P*) 2P*  ""","=""L12158"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""","="" 120.98a""","=""0.04""","=""  94         :     5  1s.(2S).2s.2p.(3P*) 2P*  ""","=""L12158"""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""","="" 120.98a""","=""0.04""","=""  94         :     5  1s.(2S).2s.2p.(3P*) 2P*  ""","=""L12158"""
"=""1s.2p2""","=""4P""","=""5/2""","="" 121.2067+x""","=""0.004""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""4P""","=""1/2""","="" 121.2067+x""","=""0.004""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""4P""","=""3/2""","="" 121.2067+x""","=""0.004""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""2D""","=""5/2""","="" 122.418a""","=""0.012""","=""  96         :     2  1s.2s.(3S).3d       2D   ""","=""L12158"""
"=""1s.2p2""","=""2D""","=""3/2""","="" 122.418a""","=""0.012""","=""  96         :     2  1s.2s.(3S).3d       2D   ""","=""L12158"""
"=""1s.2p2""","=""2P""","=""1/2""","="" 123.130""","=""0.012""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""2P""","=""3/2""","="" 123.130""","=""0.012""","="" 100                                           ""","=""L12158"""
"=""1s.2p2""","=""2S""","=""1/2""","="" 125.81a""","=""0.05""","=""  85         :    11  1s.2s2              2S   ""","=""L12158"""
"=""1s.2s.3s""","=""4S""","=""3/2""","="" 128.0327+x""","=""0.0009""","=""  92         :     7  1s.2p.3p            4S   ""","=""L12158"""
"=""1s.2s.(3S).3s""","=""2S""","=""1/2""","="" 128.82a""","=""0.20""","=""  86         :    12  1s.2p.(3P*).3p      2S   ""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""3/2""","="" 129.399+x""","=""0.004""","=""  98         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""1/2""","="" 129.399+x""","=""0.004""","=""  98         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""5/2""","="" 129.399+x""","=""0.004""","=""  98         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.(3S).3p""","=""2P*""","=""3/2""","="" 129.514a""","=""0.025""","=""  86         :    10  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.(3S).3p""","=""2P*""","=""1/2""","="" 129.514a""","=""0.025""","=""  86         :    10  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""3/2""","="" 130.17204+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""5/2""","="" 130.17204+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""1/2""","="" 130.17204+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""7/2""","="" 130.17204+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""L12158"""
"=""1s.2s.(3S).3d""","=""2D""","=""5/2""","="" 130.63a""","=""0.06""","=""  94         :     2  1s.2p2              2D   ""","=""L12158"""
"=""1s.2s.(3S).3d""","=""2D""","=""3/2""","="" 130.63a""","=""0.06""","=""  94         :     2  1s.2p2              2D   ""","=""L12158"""
"=""1s.2s.(1S).3s""","=""2S""","=""1/2""","="" 131.22a""","=""0.20""","=""  86         :    13  1s.2p.(1P*).3p      2S   ""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""3/2""","="" 131.9306+x""","=""0.0009""","=""  96         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""5/2""","="" 131.9306+x""","=""0.0009""","=""  96         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""1/2""","="" 131.9306+x""","=""0.0009""","=""  96         :     2  1s.2p.3d            4P*  ""","=""L12158"""
"=""1s.2s.(1S).3p""","=""2P*""","=""1/2""","="" 131.99a""","=""0.04""","=""  53         :    24  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
"=""1s.2s.(1S).3p""","=""2P*""","=""3/2""","="" 131.99a""","=""0.04""","=""  53         :    24  1s.2p.(3P*).3s      2P*  ""","=""L12158"""
