Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p4""","=""3P""","=""2""","="" 0.00000""","=""""","=""L3462"""
"=""2s2.2p4""","=""3P""","=""1""","="" 0.04228""","=""""","="""""
"=""2s2.2p4""","=""3P""","=""0""","="" 0.06074""","=""""","="""""
"=""2s2.2p4""","=""1D""","=""2""","="" 2.58797""","=""""","="""""
"=""2s2.2p4""","=""1S""","=""0""","="" 5.56913""","=""""","="""""
"=""2s.2p5""","=""3P*""","=""2""","="" 20.432333""","=""""","="""""
"=""2s.2p5""","=""3P*""","=""1""","="" 20.470617""","=""""","="""""
"=""2s.2p5""","=""3P*""","=""0""","="" 20.492008""","=""""","="""""
"=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","="" 21.882458""","=""""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","="" 22.672296""","=""""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","="" 25.100520""","=""""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","="" 25.101926""","=""""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","="" 25.104353""","=""""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","="" 25.751403""","=""""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","="" 25.751771""","=""""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","="" 25.751988""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","="" 26.268052""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","="" 26.270663""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","="" 26.272284""","=""""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","="" 26.665231""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""","="" 28.172734""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""","="" 28.460586""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""","="" 28.460795""","=""""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""","="" 28.461124""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","="" 28.640060""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","="" 28.640176""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","="" 28.640323""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","="" 28.640448""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""","="" 28.640507""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""","="" 28.772187""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","="" 28.772289""","=""""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","="" 28.772557""","=""""","="""""
"=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""","="" 29.154956""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""1P""","=""1""","="" 29.215944""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","="" 29.281339""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","="" 29.281672""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","="" 29.284465""","=""""","="""""
"=""2s2.2p3.(4S*).4s""","=""3S*""","=""1""","="" 29.379399""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","="" 29.447196""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","="" 29.447268""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","="" 29.447353""","=""""","="""""
"=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","="" 29.548333""","=""""","="""""
"=""2s.2p5""","=""1P*""","=""1""","="" 29.707270""","=""""","="""""
