Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2""","=""1S""","=""0""","="" 0.00000000""","=""0.00000014""","=""L8948"""
"=""1s.2s""","=""3S""","=""1""","=""[19.81961484203]""","=""0.00000000025""","=""L8948"""
"=""1s.2s""","=""1S""","=""0""","=""[20.6157751334]""","=""0.0000000006""","=""L8948"""
"=""1s.2p""","=""3P*""","=""2""","=""[20.96408720675]""","=""0.00000000025""","=""L8948"""
"=""1s.2p""","=""3P*""","=""1""","=""[20.96409668230]""","=""0.00000000025""","=""L8948"""
"=""1s.2p""","=""3P*""","=""0""","=""[20.96421916817]""","=""0.00000000025""","=""L8948"""
"=""1s.2p""","=""1P*""","=""1""","=""[21.2180230218]""","=""0.0000000009""","=""L8948"""
"=""1s.3s""","=""3S""","=""1""","=""[22.718466742]""","=""0.000000009""","=""L8948"""
"=""1s.3s""","=""1S""","=""0""","=""[22.920317682]""","=""0.000000004""","=""L8948"""
"=""1s.3p""","=""3P*""","=""2""","=""[23.0070734673]""","=""0.0000000009""","=""L8948"""
"=""1s.3p""","=""3P*""","=""1""","=""[23.0070761918]""","=""0.0000000009""","=""L8948"""
"=""1s.3p""","=""3P*""","=""0""","=""[23.0071097475]""","=""0.0000000009""","=""L8948"""
"=""1s.3d""","=""3D""","=""3""","=""[23.07365102990]""","=""0.00000000009""","=""L8948"""
"=""1s.3d""","=""3D""","=""2""","=""[23.07365134140]""","=""0.00000000009""","=""L8948"""
"=""1s.3d""","=""3D""","=""1""","=""[23.07365682165]""","=""0.00000000009""","=""L8948"""
"=""1s.3d""","=""1D""","=""2""","=""[23.07407511941]""","=""0.00000000009""","=""L8948"""
"=""1s.3p""","=""1P*""","=""1""","=""[23.0870188528]""","=""0.0000000009""","=""L8948"""
"=""1s.4s""","=""3S""","=""1""","=""[23.593959036]""","=""0.000000003""","=""L8948"""
"=""1s.4s""","=""1S""","=""0""","=""[23.6735709133]""","=""0.0000000025""","=""L8948"""
"=""1s.4p""","=""3P*""","=""2""","=""[23.7078915511]""","=""0.0000000009""","=""L8948"""
"=""1s.4p""","=""3P*""","=""1""","=""[23.7078926664]""","=""0.0000000009""","=""L8948"""
"=""1s.4p""","=""3P*""","=""0""","=""[23.7079063452]""","=""0.0000000009""","=""L8948"""
"=""1s.4d""","=""3D""","=""3""","=""[23.73609051247]""","=""0.00000000004""","=""L8948"""
"=""1s.4d""","=""3D""","=""2""","=""[23.73609066143]""","=""0.00000000004""","=""L8948"""
"=""1s.4d""","=""3D""","=""1""","=""[23.73609295768]""","=""0.00000000004""","=""L8948"""
"=""1s.4d""","=""1D""","=""2""","=""[23.73633535786]""","=""0.00000000004""","=""L8948"""
"=""1s.4f""","=""3F*""","=""3""","=""[23.737007130074]""","=""0.000000000009""","=""L8948"""
"=""1s.4f""","=""3F*""","=""4""","=""[23.737008015292]""","=""0.000000000009""","=""L8948"""
"=""1s.4f""","=""3F*""","=""2""","=""[23.737009083833]""","=""0.000000000009""","=""L8948"""
"=""1s.4f""","=""1F*""","=""3""","=""[23.737010045198]""","=""0.000000000009""","=""L8948"""
"=""1s.4p""","=""1P*""","=""1""","=""[23.7420703918]""","=""0.0000000009""","=""L8948"""
"=""1s.5s""","=""3S""","=""1""","=""[23.9719717413]""","=""0.0000000012""","=""L8948"""
"=""1s.5s""","=""1S""","=""0""","=""[24.0112153129]""","=""0.0000000012""","=""L8948"""
"=""1s.5p""","=""3P*""","=""2""","=""[24.0282253870]""","=""0.0000000004""","=""L8948"""
"=""1s.5p""","=""3P*""","=""1""","=""[24.0282259477]""","=""0.0000000004""","=""L8948"""
"=""1s.5p""","=""3P*""","=""0""","=""[24.0282328220]""","=""0.0000000004""","=""L8948"""
"=""1s.5d""","=""3D""","=""3""","=""[24.042662564819]""","=""0.000000000025""","=""L8948"""
"=""1s.5d""","=""3D""","=""2""","=""[24.042662644310]""","=""0.000000000025""","=""L8948"""
"=""1s.5d""","=""3D""","=""1""","=""[24.042663817021]""","=""0.000000000025""","=""L8948"""
"=""1s.5d""","=""1D""","=""2""","=""[24.042803734930]""","=""0.000000000021""","=""L8948"""
"=""1s.5f""","=""3F*""","=""3""","=""[24.043154407280]""","=""0.000000000004""","=""L8948"""
"=""1s.5f""","=""3F*""","=""4""","=""[24.043154788948]""","=""0.000000000004""","=""L8948"""
"=""1s.5f""","=""3F*""","=""2""","=""[24.043155335762]""","=""0.000000000004""","=""L8948"""
"=""1s.5f""","=""1F*""","=""3""","=""[24.043155971555]""","=""0.000000000004""","=""L8948"""
"=""1s.5g""","=""3G""","=""4""","=""[24.0432159882911]""","=""0.0000000000009""","=""L8948"""
"=""1s.5g""","=""3G""","=""5""","=""[24.0432163317922]""","=""0.0000000000009""","=""L8948"""
"=""1s.5g""","=""3G""","=""3""","=""[24.0432166440935]""","=""0.0000000000009""","=""L8948"""
"=""1s.5g""","=""1G""","=""4""","=""[24.0432168542416]""","=""0.0000000000009""","=""L8948"""
"=""1s.5p""","=""1P*""","=""1""","=""[24.0458007297]""","=""0.0000000004""","=""L8948"""
"=""1s.6s""","=""3S""","=""1""","=""[24.1689985463]""","=""0.0000000009""","=""L8948"""
"=""1s.6s""","=""1S""","=""0""","=""[24.1911605982]""","=""0.0000000009""","=""L8948"""
"=""1s.6p""","=""3P*""","=""2""","=""[24.2008157776]""","=""0.0000000003""","=""L8948"""
"=""1s.6p""","=""3P*""","=""1""","=""[24.2008160981]""","=""0.0000000003""","=""L8948"""
"=""1s.6p""","=""3P*""","=""0""","=""[24.2008200312]""","=""0.0000000003""","=""L8948"""
"=""1s.6d""","=""3D""","=""3""","=""[24.209163433335]""","=""0.000000000016""","=""L8948"""
"=""1s.6d""","=""3D""","=""2""","=""[24.209163480258]""","=""0.000000000016""","=""L8948"""
"=""1s.6d""","=""3D""","=""1""","=""[24.209164158016]""","=""0.000000000016""","=""L8948"""
"=""1s.6d""","=""1D""","=""2""","=""[24.209250116893]""","=""0.000000000012""","=""L8948"""
"=""1s.6f""","=""3F*""","=""3""","=""[24.2094551506479]""","=""0.0000000000025""","=""L8948"""
"=""1s.6f""","=""3F*""","=""4""","=""[24.2094553495983]""","=""0.0000000000025""","=""L8948"""
"=""1s.6f""","=""3F*""","=""2""","=""[24.2094556659472]""","=""0.0000000000025""","=""L8948"""
"=""1s.6f""","=""1F*""","=""3""","=""[24.2094560889011]""","=""0.0000000000025""","=""L8948"""
"=""1s.6g""","=""3G""","=""4""","=""[24.2094922052525]""","=""0.0000000000004""","=""L8948"""
"=""1s.6g""","=""3G""","=""5""","=""[24.2094924038571]""","=""0.0000000000004""","=""L8948"""
"=""1s.6g""","=""3G""","=""3""","=""[24.2094925845692]""","=""0.0000000000004""","=""L8948"""
"=""1s.6g""","=""1G""","=""4""","=""[24.2094927063924]""","=""0.0000000000004""","=""L8948"""
"=""1s.6h""","=""3H*""","=""5""","=""[24.20950088025301]""","=""0.00000000000025""","=""L8948"""
"=""1s.6h""","=""3H*""","=""6""","=""[24.20950100971409]""","=""0.00000000000025""","=""L8948"""
"=""1s.6h""","=""3H*""","=""4""","=""[24.20950112722159]""","=""0.00000000000025""","=""L8948"""
"=""1s.6h""","=""1H*""","=""5""","=""[24.20950121490285]""","=""0.00000000000025""","=""L8948"""
"=""1s.6p""","=""1P*""","=""1""","=""[24.2110030003]""","=""0.0000000003""","=""L8948"""
"=""1s.7s""","=""3S""","=""1""","=""[24.2845663599]""","=""0.0000000004""","=""L8948"""
"=""1s.7s""","=""1S""","=""0""","=""[24.2982862291]""","=""0.0000000004""","=""L8948"""
"=""1s.7p""","=""3P*""","=""2""","=""[24.30428952460]""","=""0.00000000016""","=""L8948"""
"=""1s.7p""","=""3P*""","=""1""","=""[24.30428972472]""","=""0.00000000016""","=""L8948"""
"=""1s.7p""","=""3P*""","=""0""","=""[24.30429218260]""","=""0.00000000016""","=""L8948"""
"=""1s.7d""","=""3D""","=""3""","=""[24.309541220281]""","=""0.000000000009""","=""L8948"""
"=""1s.7d""","=""3D""","=""2""","=""[24.309541250161]""","=""0.000000000009""","=""L8948"""
"=""1s.7d""","=""3D""","=""1""","=""[24.309541676627]""","=""0.000000000009""","=""L8948"""
"=""1s.7d""","=""1D""","=""2""","=""[24.309597704313]""","=""0.000000000009""","=""L8948"""
"=""1s.7f""","=""3F*""","=""3""","=""[24.3097276142809]""","=""0.0000000000016""","=""L8948"""
"=""1s.7f""","=""3F*""","=""4""","=""[24.3097277315102]""","=""0.0000000000016""","=""L8948"""
"=""1s.7f""","=""3F*""","=""2""","=""[24.3097279306893]""","=""0.0000000000016""","=""L8948"""
"=""1s.7f""","=""1F*""","=""3""","=""[24.3097282201906]""","=""0.0000000000016""","=""L8948"""
"=""1s.7g""","=""3G""","=""4""","=""[24.3097514886974]""","=""0.0000000000004""","=""L8948"""
"=""1s.7g""","=""3G""","=""5""","=""[24.3097516136789]""","=""0.0000000000004""","=""L8948"""
"=""1s.7g""","=""3G""","=""3""","=""[24.3097517274726]""","=""0.0000000000004""","=""L8948"""
"=""1s.7g""","=""1G""","=""4""","=""[24.3097518042885]""","=""0.0000000000004""","=""L8948"""
"=""1s.7h""","=""3H*""","=""5""","=""[24.30975716401156]""","=""0.00000000000012""","=""L8948"""
"=""1s.7h""","=""3H*""","=""6""","=""[24.30975724553837]""","=""0.00000000000012""","=""L8948"""
"=""1s.7h""","=""3H*""","=""4""","=""[24.30975731953549]""","=""0.00000000000012""","=""L8948"""
"=""1s.7h""","=""1H*""","=""5""","=""[24.30975737475284]""","=""0.00000000000012""","=""L8948"""
"=""1s.7i""","=""3I""","=""6""","=""[24.30975894672121]""","=""0.00000000000012""","=""L8948"""
"=""1s.7i""","=""3I""","=""7""","=""[24.30975900390359]""","=""0.00000000000012""","=""L8948"""
"=""1s.7i""","=""3I""","=""5""","=""[24.30975905600832]""","=""0.00000000000012""","=""L8948"""
"=""1s.7i""","=""1I""","=""6""","=""[24.30975909740429]""","=""0.00000000000012""","=""L8948"""
"=""1s.7p""","=""1P*""","=""1""","=""[24.31070850185]""","=""0.00000000016""","=""L8948"""
"=""1s.8s""","=""3S""","=""1""","=""[24.3581044672]""","=""0.0000000003""","=""L8948"""
