Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""","="" 0.000000000""","=""0.000000025""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(40.8130308564)""","=""0.0000000006""","="" 100                    ""","=""L3620c107"""
"=""2p""","=""2P*""","=""3/2""","=""(40.8137570515)""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""2s""","=""2S""","=""1/2""","=""(40.8130889283)""","=""0.0000000025""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""1/2""","=""(48.37129741757)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""3p""","=""2P*""","=""3/2""","=""(48.37151258731)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""3s""","=""2S""","=""1/2""","=""(48.3713147192)""","=""0.0000000006""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""3/2""","=""(48.371512233303)""","=""0.000000000010""","="" 100                    ""","=""L3620c107"""
"=""3d""","=""2D""","=""5/2""","=""(48.371583949701)""","=""0.000000000007""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""1/2""","=""(51.01666119611)""","=""0.00000000010""","="" 100                    ""","=""L3620c107"""
"=""4p""","=""2P*""","=""3/2""","=""(51.01675197039)""","=""0.00000000005""","="" 100                    ""","=""L3620c107"""
"=""4s""","=""2S""","=""1/2""","=""(51.01666851092)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""3/2""","=""(51.0167518192)""","=""0.0000000011""","="" 100                    ""","=""L3620c107"""
"=""4d""","=""2D""","=""5/2""","=""(51.0167820747)""","=""0.0000000011""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""5/2""","=""(51.0167820202)""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""4f""","=""2F*""","=""7/2""","=""(51.0167971475)""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""1/2""","=""(52.24107411273)""","=""0.00000000005""","="" 100                    ""","=""L3620c107"""
"=""5p""","=""2P*""","=""3/2""","=""(52.241120588933)""","=""0.000000000025""","="" 100                    ""","=""L3620c107"""
"=""5s""","=""2S""","=""1/2""","=""(52.2410778621)""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""3/2""","=""(52.2411205110)""","=""0.0000000007""","="" 100                    ""","=""L3620c107"""
"=""5d""","=""2D""","=""5/2""","=""(52.2411360019)""","=""0.0000000007""","="" 100                    ""","=""L3620c107"""
"=""5f""","=""2F*""","=""5/2""","=""(52.2411359737)""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""5f""","=""2F*""","=""7/2""","=""(52.2411437189)""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""5g""","=""2G""","=""7/2""","=""(52.24114370425)""","=""0.00000000009""","="" 100                    ""","=""L3620c107"""
"=""5g""","=""2G""","=""9/2""","=""(52.24114835134)""","=""0.00000000009""","="" 100                    ""","=""L3620c107"""
"=""6p""","=""2P*""","=""1/2""","=""(52.90618204173)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""6p""","=""2P*""","=""3/2""","=""(52.90620893763)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""6s""","=""2S""","=""1/2""","=""(52.90618421270)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""6d""","=""2D""","=""3/2""","=""(52.9062088920)""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""6d""","=""2D""","=""5/2""","=""(52.9062178567)""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""6f""","=""2F*""","=""5/2""","=""(52.9062178403)""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""6f""","=""2F*""","=""7/2""","=""(52.9062223225)""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""6g""","=""2G""","=""7/2""","=""(52.90622231393)""","=""0.00000000011""","="" 100                    ""","=""L3620c107"""
"=""6g""","=""2G""","=""9/2""","=""(52.90622500324)""","=""0.00000000011""","="" 100                    ""","=""L3620c107"""
"=""6h""","=""2H*""","=""9/2""","=""(52.906224997969)""","=""0.000000000025""","="" 100                    ""","=""L3620c107"""
"=""6h""","=""2H*""","=""11/2""","=""(52.906226790830)""","=""0.000000000025""","="" 100                    ""","=""L3620c107"""
"=""7p""","=""2P*""","=""1/2""","=""(53.30721871169)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""7p""","=""2P*""","=""3/2""","=""(53.30723564892)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""7s""","=""2S""","=""1/2""","=""(53.30722007927)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""7d""","=""2D""","=""3/2""","=""(53.3072356200)""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""7d""","=""2D""","=""5/2""","=""(53.3072412654)""","=""0.0000000004""","="" 100                    ""","=""L3620c107"""
"=""7f""","=""2F*""","=""5/2""","=""(53.30724125511)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""7f""","=""2F*""","=""7/2""","=""(53.30724407774)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""7g""","=""2G""","=""7/2""","=""(53.30724407226)""","=""0.00000000010""","="" 100                    ""","=""L3620c107"""
"=""7g""","=""2G""","=""9/2""","=""(53.30724576581)""","=""0.00000000010""","="" 100                    ""","=""L3620c107"""
"=""7h""","=""2H*""","=""9/2""","=""(53.30724576249)""","=""0.00000000004""","="" 100                    ""","=""L3620c107"""
"=""7h""","=""2H*""","=""11/2""","=""(53.30724689152)""","=""0.00000000004""","="" 100                    ""","=""L3620c107"""
"=""7i""","=""2I""","=""11/2""","=""(53.307246889249)""","=""0.000000000009""","="" 100                    ""","=""L3620c107"""
"=""7i""","=""2I""","=""13/2""","=""(53.307247695697)""","=""0.000000000009""","="" 100                    ""","=""L3620c107"""
"=""8p""","=""2P*""","=""1/2""","=""(53.56750569760)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""8p""","=""2P*""","=""3/2""","=""(53.56751704426)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""8s""","=""2S""","=""1/2""","=""(53.56750661409)""","=""0.00000000010""","="" 100                    ""","=""L3620c107"""
"=""8d""","=""2D""","=""3/2""","=""(53.56751702477)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""8d""","=""2D""","=""5/2""","=""(53.56752080666)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""8f""","=""2F*""","=""5/2""","=""(53.56752079984)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""8f""","=""2F*""","=""7/2""","=""(53.56752269073)""","=""0.00000000025""","="" 100                    ""","=""L3620c107"""
"=""8g""","=""2G""","=""7/2""","=""(53.56752268714)""","=""0.00000000007""","="" 100                    ""","=""L3620c107"""
"=""8g""","=""2G""","=""9/2""","=""(53.56752382168)""","=""0.00000000007""","="" 100                    ""","=""L3620c107"""
"=""8h""","=""2H*""","=""9/2""","=""(53.56752381945)""","=""0.00000000004""","="" 100                    ""","=""L3620c107"""
"=""8h""","=""2H*""","=""11/2""","=""(53.56752457582)""","=""0.00000000004""","="" 100                    ""","=""L3620c107"""
"=""8i""","=""2I""","=""11/2""","=""(53.567524574295)""","=""0.000000000012""","="" 100                    ""","=""L3620c107"""
"=""8i""","=""2I""","=""13/2""","=""(53.567525114556)""","=""0.000000000012""","="" 100                    ""","=""L3620c107"""
"=""8k""","=""2K*""","=""13/2""","=""(53.567525113450)""","=""0.000000000004""","="" 100                    ""","=""L3620c107"""
"=""8k""","=""2K*""","=""15/2""","=""(53.567525518642)""","=""0.000000000004""","="" 100                    ""","=""L3620c107"""
"=""9p""","=""2P*""","=""1/2""","=""(53.74595691910)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""9p""","=""2P*""","=""3/2""","=""(53.74596488806)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""9s""","=""2S""","=""1/2""","=""(53.74595756283)""","=""0.00000000007""","="" 100                    ""","=""L3620c107"""
"=""9d""","=""2D""","=""3/2""","=""(53.74596487442)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""9d""","=""2D""","=""5/2""","=""(53.74596753054)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""9f""","=""2F*""","=""5/2""","=""(53.74596752570)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""9f""","=""2F*""","=""7/2""","=""(53.74596885382)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""9g""","=""2G""","=""7/2""","=""(53.74596885124)""","=""0.00000000006""","="" 100                    ""","=""L3620c107"""
"=""9g""","=""2G""","=""9/2""","=""(53.74596964808)""","=""0.00000000006""","="" 100                    ""","=""L3620c107"""
"=""9h""","=""2H*""","=""9/2""","=""(53.745969646502)""","=""0.000000000025""","="" 100                    ""","=""L3620c107"""
"=""9h""","=""2H*""","=""11/2""","=""(53.745970177725)""","=""0.000000000025""","="" 100                    ""","=""L3620c107"""
"=""9i""","=""2I""","=""11/2""","=""(53.745970176660)""","=""0.000000000012""","="" 100                    ""","=""L3620c107"""
"=""9i""","=""2I""","=""13/2""","=""(53.745970556089)""","=""0.000000000012""","="" 100                    ""","=""L3620c107"""
"=""9k""","=""2K*""","=""13/2""","=""(53.745970555319)""","=""0.000000000005""","="" 100                    ""","=""L3620c107"""
"=""9k""","=""2K*""","=""15/2""","=""(53.745970839898)""","=""0.000000000005""","="" 100                    ""","=""L3620c107"""
"=""9l""","=""2L""","=""15/2""","=""(53.7459708393087)""","=""0.0000000000012""","="" 100                    ""","=""L3620c107"""
"=""9l""","=""2L""","=""17/2""","=""(53.7459710606478)""","=""0.0000000000012""","="" 100                    ""","=""L3620c107"""
"=""10p""","=""2P*""","=""1/2""","=""(53.87360163104)""","=""0.00000000011""","="" 100                    ""","=""L3620c107"""
"=""10p""","=""2P*""","=""3/2""","=""(53.87360744048)""","=""0.00000000011""","="" 100                    ""","=""L3620c107"""
"=""10s""","=""2S""","=""1/2""","=""(53.87360210042)""","=""0.00000000005""","="" 100                    ""","=""L3620c107"""
"=""10d""","=""2D""","=""3/2""","=""(53.87360743049)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""10d""","=""2D""","=""5/2""","=""(53.87360936687)""","=""0.00000000012""","="" 100                    ""","=""L3620c107"""
"=""10f""","=""2F*""","=""5/2""","=""(53.87360936328)""","=""0.00000000011""","="" 100                    ""","=""L3620c107"""
"=""10f""","=""2F*""","=""7/2""","=""(53.87361033143)""","=""0.00000000011""","="" 100                    ""","=""L3620c107"""
"=""10g""","=""2G""","=""7/2""","=""(53.87361032957)""","=""0.00000000005""","="" 100                    ""","=""L3620c107"""
"=""10g""","=""2G""","=""9/2""","=""(53.87361091046)""","=""0.00000000005""","="" 100                    ""","=""L3620c107"""
"=""10h""","=""2H*""","=""9/2""","=""(53.873610909311)""","=""0.000000000025""","="" 100                    ""","=""L3620c107"""
