Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""2p6.3s""","=""2S""","=""1/2""","="" 0.000000""","=""""","=""                                                    ""","=""L4995"""
"=""2p6.3p""","=""2P*""","=""1/2""","="" 4.422431""","=""""","=""                                                    ""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","="" 4.433784""","=""""","=""                                                    ""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","="" 8.654711""","=""""","=""                                                    ""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","="" 8.863654""","=""""","=""                                                    ""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","="" 8.863762""","=""""","=""                                                    ""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","="" 9.995544""","=""""","=""                                                    ""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","="" 9.999328""","=""""","=""                                                    ""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","="" 11.504557""","=""""","=""                                                    ""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","="" 11.569039""","=""""","=""                                                    ""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","="" 11.569103""","=""""","=""                                                    ""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","="" 11.629672""","=""""","=""                                                    ""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","="" 11.629687""","=""""","=""                                                    ""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","="" 12.082895""","=""""","=""                                                    ""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","="" 12.084606""","=""""","=""                                                    ""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","="" 12.794766""","=""""","=""                                                    ""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","="" 12.822409""","=""""","=""                                                    ""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","="" 12.822446""","=""""","=""                                                    ""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","="" 12.855904""","=""""","=""                                                    ""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","="" 12.855912""","=""""","=""                                                    ""","="""""
"=""2p6.5g""","=""2G""","=""9/2""","="" 12.857863""","=""""","=""                                                    ""","="""""
"=""2p6.5g""","=""2G""","=""7/2""","="" 12.857863""","=""""","=""                                                    ""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""","="" 13.095501""","=""""","=""                                                    ""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""","="" 13.096416""","=""""","=""                                                    ""","="""""
"=""2p6.7s""","=""2S""","=""1/2""","="" 13.487538""","=""""","=""                                                    ""","="""""
"=""2p6.6d""","=""2D""","=""5/2""","="" 13.501882""","=""""","=""                                                    ""","="""""
"=""2p6.6d""","=""2D""","=""3/2""","="" 13.501904""","=""""","=""                                                    ""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""","="" 13.522004""","=""""","=""                                                    ""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""","="" 13.522008""","=""""","=""                                                    ""","="""""
"=""2p6.6g""","=""2G""","=""7/2""","="" 13.523211""","=""""","=""                                                    ""","="""""
"=""2p6.6g""","=""2G""","=""9/2""","="" 13.523211""","=""""","=""                                                    ""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""","="" 13.523449""","=""""","=""                                                    ""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""","="" 13.523449""","=""""","=""                                                    ""","="""""
"=""2p6.7p""","=""2P*""","=""1/2""","="" 13.663503""","=""""","=""                                                    ""","="""""
"=""2p6.7p""","=""2P*""","=""3/2""","="" 13.664049""","=""""","=""                                                    ""","="""""
"=""2p6.8s""","=""2S""","=""1/2""","="" 13.902249""","=""""","=""                                                    ""","="""""
"=""2p6.7d""","=""2D""","=""5/2""","="" 13.910661""","=""""","=""                                                    ""","="""""
"=""2p6.7d""","=""2D""","=""3/2""","="" 13.910676""","=""""","=""                                                    ""","="""""
"=""2p6.7f""","=""2F*""","=""7/2""","="" 13.923608""","=""""","=""                                                    ""","="""""
