Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""","="" 0.000000""","=""""","="" 100                                       ""","=""L7237"""
"=""3s2.3p3""","=""2D*""","=""3/2""","="" 1.841530""","=""""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2D*""","=""5/2""","="" 1.845471""","=""""","="" 100                                       ""","="""""
"=""3s2.3p3""","=""2P*""","=""1/2""","="" 3.040691""","=""""","=""  99         :     1  3p5             2P*  ""","="""""
"=""3s2.3p3""","=""2P*""","=""3/2""","="" 3.046483""","=""""","=""  98         :     1  3p5             2P*  ""","="""""
"=""3s.3p4""","=""4P""","=""5/2""","="" 9.843774""","=""""","=""  85         :    13  3s.3p4          4P   ""","="""""
"=""3s.3p4""","=""4P""","=""3/2""","="" 9.888587""","=""""","=""  85         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4""","=""4P""","=""1/2""","="" 9.914100""","=""""","=""  85         :    13  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4""","=""2D""","=""3/2""","="" 12.136905""","=""""","=""  67         :    26  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s.3p4""","=""2D""","=""5/2""","="" 12.140391""","=""""","=""  67         :    26  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","="" 13.092615""","=""""","=""  72         :    17  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""","="" 13.147810""","=""""","=""  71         :    17  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","="" 13.583794""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","="" 13.617382""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","="" 13.671564""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","="" 13.660210""","=""""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","="" 13.677118""","=""""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","="" 13.701334""","=""""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""9/2""","="" 13.733303""","=""""","=""  98         :     1  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","="" 14.002474""","=""""","=""  95         :     2  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","="" 14.067438""","=""""","=""  96         :     1  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""1/2""","="" 14.154321""","=""""","=""  99         :     1  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""3/2""","="" 14.159062""","=""""","=""  99         :     1  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""5/2""","="" 14.162844""","=""""","=""  98         :     1  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4D""","=""7/2""","="" 14.168831""","=""""","=""  97         :     1  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""","="" 14.233928""","=""""","=""  49         :    49  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""","="" 14.293594""","=""""","=""  47         :    49  3s2.3p2.(1D).3d 2F   ""","="""""
"=""3s.3p4""","=""2S""","=""1/2""","="" 14.851295""","=""""","=""  62         :    37  3s2.3p2.(1D).3d 2S   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","="" 15.067641""","=""""","=""  98         :     1  3s2.3p2.(3P).3d 2D   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","="" 15.067802""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""2S*""","=""1/2""","="" 15.558193""","=""""","=""  98         :     2  3s2.3p2.(3P).5p 2S*  ""","="""""
"=""3s2.3p2.(1D).3d""","=""2G""","=""7/2""","="" 15.761752""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(1D).3d""","=""2G""","=""9/2""","="" 15.761907""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","="" 15.848290""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","="" 15.867044""","=""""","=""  98         :     1  3s2.3p2.(3P).4p 4P*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","="" 15.898891""","=""""","=""  98         :     1  3s2.3p2.(3P).4p 4P*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","="" 15.944264""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","="" 16.091640""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","="" 16.100362""","=""""","=""  89         :     8  3s2.3p2.(3P).4p 4S*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","="" 16.134580""","=""""","=""  94         :     4  3s2.3p2.(3P).4p 2D*  ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""","="" 16.192610""","=""""","=""  85         :    10  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""","="" 16.219470""","=""""","=""  85         :    11  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""","="" 16.235599""","=""""","=""  85         :    11  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","="" 16.197433""","=""""","=""  88         :    10  3s2.3p2.(1D).4p 2D*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""","="" 16.265139""","=""""","=""  88         :     9  3s2.3p2.(1D).4p 2D*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""","="" 16.245507""","=""""","=""  89         :     9  3s2.3p2.(3P).4p 4P*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""","="" 16.523210""","=""""","=""  91         :     6  3s2.3p2.(1D).4p 2P*  ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""","="" 16.539488""","=""""","=""  90         :     8  3s2.3p2.(1D).4p 2P*  ""","="""""
"=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""","="" 16.534639""","=""""","=""  82         :    10  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""","="" 16.590926""","=""""","=""  83         :     9  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(1S).4s""","=""2S""","=""1/2""","="" 16.902616""","=""""","=""  95         :     2  3s2.3p2.(1D).3d 2S   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2F""","=""5/2""","="" 17.172948""","=""""","=""  42         :    44  3s2.3p2.(3P).3d 2F   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2F""","=""7/2""","="" 17.175281""","=""""","=""  42         :    44  3s2.3p2.(3P).3d 2F   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""1/2""","="" 17.338569""","=""""","=""  90         :     3  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2P""","=""3/2""","="" 17.359867""","=""""","=""  90         :     4  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(1D).4p""","=""2F*""","=""5/2""","="" 17.386317""","=""""","=""  97         :     3  3s2.3p2.(1D).4p 2D*  ""","="""""
"=""3s2.3p2.(1D).4p""","=""2F*""","=""7/2""","="" 17.397367""","=""""","="" 100                                       ""","="""""
"=""3s2.3p2.(1D).4p""","=""2D*""","=""5/2""","="" 17.445679""","=""""","=""  86         :    10  3s2.3p2.(3P).4p 2D*  ""","="""""
"=""3s2.3p2.(1D).4p""","=""2D*""","=""3/2""","="" 17.450818""","=""""","=""  88         :    10  3s2.3p2.(3P).4p 2D*  ""","="""""
"=""3s2.3p2.(1D).4p""","=""2P*""","=""1/2""","="" 17.790362""","=""""","=""  91         :     6  3s2.3p2.(3P).4p 2P*  ""","="""""
"=""3s2.3p2.(1D).4p""","=""2P*""","=""3/2""","="" 17.807052""","=""""","=""  89         :     8  3s2.3p2.(3P).4p 2P*  ""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""","="" 17.854893""","=""""","=""  64         :    14  3s2.3p2.(1S).3d 2D   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""","="" 17.871350""","=""""","=""  64         :    14  3s.3p4          2D   ""","="""""
"=""3s.3p4""","=""2P""","=""3/2""","="" 18.040413""","=""""","=""  35         :    42  3s2.3p2.(3P).4d 2P   ""","="""""
"=""3s.3p4""","=""2P""","=""1/2""","="" 18.086525""","=""""","=""  36         :    42  3s2.3p2.(3P).4d 2P   ""","="""""
"=""3s2.3p2.(1S).3d""","=""2D""","=""5/2""","="" 18.459582""","=""""","=""  64         :    14  3s2.3p2.(3P).4d 2D   ""","="""""
"=""3s2.3p2.(1S).3d""","=""2D""","=""3/2""","="" 18.461360""","=""""","=""  64         :    15  3s2.3p2.(3P).4d 2D   ""","="""""
"=""3s2.3p2.(3P).5s""","=""4P""","=""1/2""","="" 18.629681""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).5s""","=""4P""","=""3/2""","="" 18.663504""","=""""","=""  98         :     2  3s2.3p2.(3P).5s 2P   ""","="""""
"=""3s2.3p2.(3P).5s""","=""4P""","=""5/2""","="" 18.721169""","=""""","=""  99         :     1  3s2.3p2.(3P).4d 4P   ""","="""""
"=""3s2.3p2.(3P).5s""","=""2P""","=""1/2""","="" 18.769200""","=""""","=""  97         :     1  3s2.3p2.(3P).4d 2P   ""","="""""
"=""3s2.3p2.(3P).5s""","=""2P""","=""3/2""","="" 18.834542""","=""""","=""  96         :     2  3s2.3p2.(3P).5s 4P   ""","="""""
"=""3s2.3p2.(1D).3d""","=""2S""","=""1/2""","="" 18.802417""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4d""","=""4F""","=""3/2""","="" 18.840600""","=""""","=""  96         :     2  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4F""","=""5/2""","="" 18.857332""","=""""","=""  95         :     3  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4F""","=""7/2""","="" 18.883413""","=""""","=""  94         :     4  3s2.3p2.(3P).4d 4D   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4F""","=""9/2""","="" 18.921905""","=""""","=""  98         :     1  3s2.3p2.(3P).3d 4F   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4D""","=""1/2""","="" 18.988664""","=""""","=""  99         :     1  3s2.3p2.(3P).3d 4D   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4D""","=""3/2""","="" 18.994621""","=""""","=""  97         :     2  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4D""","=""5/2""","="" 19.004679""","=""""","=""  95         :     3  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4D""","=""7/2""","="" 19.020880""","=""""","=""  95         :     4  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4P""","=""5/2""","="" 19.319058""","=""""","=""  94         :     2  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4P""","=""3/2""","="" 19.345197""","=""""","=""  94         :     2  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4d""","=""4P""","=""1/2""","="" 19.359944""","=""""","=""  94         :     2  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4d""","=""2F""","=""5/2""","="" 19.356624""","=""""","=""  78         :    12  3s2.3p2.(1D).4d 2F   ""","="""""
"=""3s2.3p2.(3P).4d""","=""2F""","=""7/2""","="" 19.416442""","=""""","=""  79         :    11  3s2.3p2.(1D).4d 2F   ""","="""""
"=""3s2.3p2.(1S).4p""","=""2P*""","=""1/2""","="" 19.362245""","=""""","=""  85         :     5  3s2.3p2.(3P).5p 2S*  ""","="""""
"=""3s2.3p2.(1S).4p""","=""2P*""","=""3/2""","="" 19.375858""","=""""","=""  92         :     5  3s2.3p2.(1D).5p 2P*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4D*""","=""1/2""","="" 19.444411""","=""""","=""  95         :     4  3s2.3p2.(3P).5p 2S*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""","="" 19.458018""","=""""","=""  92         :     6  3s2.3p2.(3P).5p 4P*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""","="" 19.487054""","=""""","=""  92         :     6  3s2.3p2.(3P).5p 4P*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4D*""","=""7/2""","="" 19.534798""","=""""","=""  99                                       ""","="""""
"=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""","="" 19.537390""","=""""","=""  55         :    37  3s2.3p2.(3P).5p 4S*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""","="" 19.549496""","=""""","=""  95         :     3  3s2.3p2.(3P).5p 2S*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""","="" 19.594289""","=""""","=""  90         :     7  3s2.3p2.(3P).5p 4D*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""","="" 19.604226""","=""""","=""  51         :    37  3s2.3p2.(3P).5p 4P*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""2D*""","=""3/2""","="" 19.616233""","=""""","=""  86         :     9  3s2.3p2.(3P).5p 4S*  ""","="""""
"=""3s2.3p2.(3P).5p""","=""2D*""","=""5/2""","="" 19.678209""","=""""","=""  94         :     4  3s2.3p2.(3P).5p 4P*  ""","="""""
"=""3s2.3p2.(3P).4d""","=""2P""","=""3/2""","="" 19.692201""","=""""","=""  43         :    22  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).4d""","=""2P""","=""1/2""","="" 19.748657""","=""""","=""  50         :    25  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).4d""","=""2D""","=""5/2""","="" 19.774591""","=""""","=""  73         :     9  3s2.3p2.(3P).5d 2D   ""","="""""
"=""3s2.3p2.(3P).4d""","=""2D""","=""3/2""","="" 19.774976""","=""""","=""  62         :     8  3s2.3p2.(3P).5d 2P   ""","="""""
"=""3s2.3p2.(3P<0>).4f""","=""2[3]*""","=""5/2""","="" 19.850380""","=""""","=""  95     or  :    44  3s2.3p2.(3P).4f 4G*  ""","="""""
"=""3s2.3p2.(3P<0>).4f""","=""2[3]*""","=""7/2""","="" 19.853453""","=""""","=""  91     or  :    57  3s2.3p2.(3P).4f 4D*  ""","="""""
"=""3s2.3p2.(3P<1>).4f""","=""2[3]*""","=""5/2""","="" 19.869463""","=""""","=""  99     or  :    52  3s2.3p2.(3P).4f 4G*  ""","="""""
"=""3s2.3p2.(3P<1>).4f""","=""2[3]*""","=""7/2""","="" 19.872713""","=""""","=""  93     or  :    41  3s2.3p2.(3P).4f 4G*  ""","="""""
"=""3s2.3p2.(3P<1>).4f""","=""2[4]*""","=""9/2""","="" 19.892356""","=""""","=""  94     or  :    74  3s2.3p2.(3P).4f 4G*  ""","="""""
"=""3s2.3p2.(3P<1>).4f""","=""2[4]*""","=""7/2""","="" 19.897376""","=""""","=""  90     or  :    57  3s2.3p2.(3P).4f 2G*  ""","="""""
"=""3s2.3p2.(3P<1>).4f""","=""2[2]*""","=""3/2""","="" 19.894782""","=""""","=""  86     or  :    46  3s2.3p2.(3P).4f 2D*  ""","="""""
"=""3s2.3p2.(3P<1>).4f""","=""2[2]*""","=""5/2""","="" 19.895436""","=""""","=""  84     or  :    70  3s2.3p2.(3P).4f 4D*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[1]*""","=""1/2?""","="" 19.928436""","=""""","=""  99     or  :   100  3s2.3p2.(3P).4f 4D*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[1]*""","=""3/2?""","="" 19.928436""","=""""","=""  99     or  :    52  3s2.3p2.(3P).4f 4D*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[5]*""","=""11/2""","="" 19.940216""","=""""","=""  99     or  :   100  3s2.3p2.(3P).4f 4G*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[5]*""","=""9/2""","="" 19.951655""","=""""","=""  98     or  :    80  3s2.3p2.(3P).4f 2G*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[2]*""","=""3/2""","="" 19.988863""","=""""","=""  85     or  :    88  3s2.3p2.(3P).4f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[2]*""","=""5/2""","="" 19.992882""","=""""","=""  70     or  :    74  3s2.3p2.(3P).4f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[4]*""","=""7/2""","="" 20.002327""","=""""","=""  80     or  :    88  3s2.3p2.(3P).4f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[4]*""","=""9/2""","="" 20.006114""","=""""","=""  94     or  :    91  3s2.3p2.(3P).4f 4F*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[3]*""","=""5/2""","="" 20.009370""","=""""","=""  79     or  :    76  3s2.3p2.(3P).4f 2F*  ""","="""""
"=""3s2.3p2.(3P<2>).4f""","=""2[3]*""","=""7/2""","="" 20.017864""","=""""","=""  79     or  :    91  3s2.3p2.(3P).4f 2F*  ""","="""""
"=""3s2.3p2.(1D).5s""","=""2D""","=""5/2""","="" 20.052349""","=""""","=""  99         :     1  3s2.3p2.(1D).4d 2D   ""","="""""
