isotopologue,dataset
(1H)2(16O),POKAZATEL
(1H)2(18O),HotWat78
(1H)(2H)(16O),VTT
(1H)2(17O),HotWat78
(12C)(16O)2,UCL-4000
(12C)(18O),Li2015
(13C)(16O),Li2015
(12C)(17O),Li2015
(13C)(18O),Li2015
(13C)(17O),Li2015
(12C)(16O),Li2015
(12C)(1H)4,YT34to10
(14N)(16O),XABC
(32S)(16O)2,ExoAmes
(14N)(1H)3,CoYuTe
(15N)(1H)3,BYTe-15
(1H)(14N)(16O)3,AIJS
(16O)(1H),MoLLIST
(1H)(19F),Coxon-Hajig
(1H)2(12C)(16O),AYTY
(14N)2,WCCRMT
(1H)(12C)(14N),Harris
(12C)(1H)3(35Cl),OYT
(12C)(1H)3(37Cl),OYT
(1H)2(16O)2,APTY
(12C)2(1H)2,aCeTY
(31P)(1H)3,SAlTY
(1H)2(32S),AYT2
(12C)2(1H)4,MaYTY
(13C)(36S),JnK
(12C)(33S),JnK
(12C)(32S),JnK
(12C)(34S),JnK
(12C)(36S),JnK
(13C)(32S),JnK
(13C)(34S),JnK
(13C)(33S),JnK
(1H)2,RACPPK
(1H)(2H),ADJSAAM
(7Li)(1H),CLT
(56Fe)(1H),MoLLIST
(48Ti)(1H),MoLLIST
(9Be)(1H),Darby-Lewis
(9Be)(2H),Darby-Lewis
(9Be)(3H),Darby-Lewis
(40Ca)(1H),XAB
(52Cr)(1H),MoLLIST
(29Si)(1H),SiGHTLY
(28Si)(2H),SiGHTLY
(28Si)(1H),SiGHTLY
(30Si)(1H),SiGHTLY
(27Al)(1H),AlHambra
(27Al)(2H),AlHambra
(26Al)(1H),AlHambra
(23Na)(2H),Rivlin
(23Na)(1H),Rivlin
(26Mg)(1H),XAB
(24Mg)(1H),XAB
(25Mg)(1H),XAB
(28Si)(16O),SiOUVenIR
(48Ti)(16O),Toto
(47Ti)(16O),Toto
(50Ti)(16O),Toto
(46Ti)(16O),Toto
(49Ti)(16O),Toto
(26Mg)(16O),LiTY
(24Mg)(17O),LiTY
(24Mg)(18O),LiTY
(25Mg)(16O),LiTY
(24Mg)(16O),LiTY
(12C)(13C),8states
(13C)2,8states
(12C)2,8states
(13C)(15N),Trihybrid
(12C)(14N),Trihybrid
(13C)(14N),Trihybrid
(12C)(15N),Trihybrid
(12C)(1H),MoLLIST
(13C)(1H),MoLLIST
(7Li)(35Cl),MoLLIST
(7Li)(37Cl),MoLLIST
(6Li)(35Cl),MoLLIST
(6Li)(37Cl),MoLLIST
(23Na)(37Cl),Barton
(23Na)(35Cl),Barton
(14N)(1H),MoLLIST
(32S)(16O)3,UYT2
(89Y)(16O),SSYT
(51V)(16O),VOMYT
(32S)(1H),GYT
(33S)(1H),GYT
(34S)(1H),GYT
(32S)(2H),GYT
(36S)(1H),GYT
(27Al)(16O),ATP
(27Al)(18O),ATP
(26Al)(16O),ATP
(27Al)(17O),ATP
(45Sc)(1H),LYT
(39K)(35Cl),Barton
(39K)(37Cl),Barton
(41K)(35Cl),Barton
(41K)(37Cl),Barton
(40Ca)(16O),VBATHY
(12C)(31P),MoLLIST
(31P)(15N),YYLT
(31P)(14N),YYLT
(31P)(32S),POPS
(31P)(16O),POPS
(28Si)(1H)4,OY2T
(15N)(32S),SNaSH
(14N)(34S),SNaSH
(14N)(36S),SNaSH
(14N)(33S),SNaSH
(14N)(32S),SNaSH
(12C)(1H)3(19F),OYKYT
(30Si)(33S),UCTY
(29Si)(33S),UCTY
(29Si)(36S),UCTY
(28Si)(36S),UCTY
(29Si)(32S),UCTY
(30Si)(36S),UCTY
(28Si)(33S),UCTY
(30Si)(34S),UCTY
(30Si)(32S),UCTY
(29Si)(34S),UCTY
(28Si)(34S),UCTY
(28Si)(32S),UCTY
(7Li)(19F),MoLLIST
(6Li)(19F),MoLLIST
(23Na)(19F),MoLLIST
(39K)(19F),MoLLIST
(41K)(19F),MoLLIST
(27Al)(19F),MoLLIST
(46Ca)(19F),MoLLIST
(42Ca)(19F),MoLLIST
(43Ca)(19F),MoLLIST
(40Ca)(19F),MoLLIST
(48Ca)(19F),MoLLIST
(44Ca)(19F),MoLLIST
(25Mg)(19F),MoLLIST
(24Mg)(19F),MoLLIST
(26Mg)(19F),MoLLIST
(75As)(1H)3,CYT18
(31P)(19F)3,MCYTY
(31P)(1H),LaTY
(12C)(1H)3,AYYJ
(28Si)(1H)2,CATS
(28Si)(16O)2,OYT3
cis-(31P)2(1H)2,OY-Cis
trans-(31P)2(1H)(2H),OY-Trans
trans-(31P)2(1H)2,OY-Trans
(39K)(16O)(1H),OYT4
(23Na)(16O)(1H),OYT5
(23Na)(16O),NaOUCMe
(28Si)(15N),SiNfull
(28Si)(14N),SiNfull
(30Si)(14N),SiNfull
(29Si)(14N),SiNfull
(40Ca)(16O)(1H),OYT6
(1H)2(12C)(32S),MOTY
